Date,Open,High,Low,Close,Adj Close,Volume
1992-06-22,11.632563,11.745500,11.632563,11.745500,3.784329,83800
1992-06-23,11.745500,11.745500,11.576094,11.576094,3.729748,42200
1992-06-24,11.576094,11.632563,11.350219,11.350219,3.656971,229100
1992-06-25,11.350219,11.350219,11.180813,11.180813,3.602391,119000
1992-06-26,11.180813,11.237281,11.180813,11.237281,3.620584,62400
1992-06-29,11.350219,11.689032,11.293750,11.689032,3.766136,75200
1992-06-30,11.689032,12.027843,11.576094,11.858438,3.820718,114400
1992-07-01,11.914907,11.971375,11.745500,11.745500,3.784329,60800
1992-07-02,11.858438,11.858438,11.745500,11.745500,3.784329,291900
1992-07-06,11.745500,11.914907,11.745500,11.914907,3.838910,105300
1992-07-07,12.027843,12.479593,12.027843,12.310187,3.966269,271600
1992-07-08,12.253718,12.310187,12.140781,12.197250,3.929880,48900
1992-07-09,12.140781,12.253718,12.084312,12.140781,3.911686,65700
1992-07-10,12.084312,12.140781,11.971375,12.084312,3.893492,60400
1992-07-13,12.140781,12.140781,11.971375,12.084312,3.893492,115900
1992-07-14,12.140781,12.140781,11.971375,12.027843,3.875299,69200
1992-07-15,12.084312,12.310187,12.027843,12.310187,3.966269,242600
1992-07-16,12.253718,12.366656,12.197250,12.253718,3.948074,201600
1992-07-17,12.253718,12.253718,12.084312,12.140781,3.911686,228600
1992-07-20,11.971375,12.310187,11.971375,12.310187,3.966269,53300
1992-07-21,12.366656,12.366656,12.084312,12.197250,3.929880,123700
1992-07-22,12.197250,12.197250,11.971375,12.027843,3.875299,23600
1992-07-23,11.971375,12.027843,11.971375,12.027843,3.875299,56200
1992-07-24,12.027843,12.253718,11.971375,12.253718,3.948074,131700
1992-07-27,12.253718,12.366656,12.197250,12.310187,3.966269,31600
1992-07-28,12.366656,12.479593,12.310187,12.479593,4.020850,93800
1992-07-29,12.479593,12.705469,12.310187,12.536062,4.039044,206000
1992-07-30,12.536062,12.705469,12.536062,12.649000,4.075432,117900
1992-07-31,12.592531,12.818406,12.536062,12.761937,4.111819,110600
1992-08-03,12.761937,12.761937,12.592531,12.705469,4.093626,87600
1992-08-04,12.705469,12.705469,12.592531,12.592531,4.057240,70600
1992-08-05,12.536062,12.592531,12.423125,12.479593,4.020850,122100
1992-08-06,12.366656,12.423125,12.140781,12.197250,3.929880,100900
1992-08-07,12.140781,12.366656,12.084312,12.084312,3.893492,88500
1992-08-10,12.084312,12.197250,12.084312,12.197250,3.929880,60400
1992-08-11,12.310187,12.310187,12.084312,12.084312,3.893492,83000
1992-08-12,12.084312,12.084312,11.632563,11.745500,3.784329,560200
1992-08-13,11.293750,11.406688,11.180813,11.350219,3.656971,433400
1992-08-14,11.406688,11.576094,11.406688,11.576094,3.729748,87400
1992-08-17,11.576094,11.745500,11.576094,11.689032,3.766136,75900
1992-08-18,11.745500,11.745500,11.632563,11.689032,3.766136,63000
1992-08-19,11.632563,11.632563,11.519625,11.519625,3.711554,71400
1992-08-20,11.519625,11.632563,11.463157,11.519625,3.711554,64800
1992-08-21,11.519625,11.632563,11.519625,11.632563,3.747943,128100
1992-08-24,11.519625,11.576094,11.519625,11.519625,3.711554,44200
1992-08-25,11.519625,11.519625,11.293750,11.293750,3.736073,176800
1992-08-26,11.406688,11.406688,11.067875,11.124344,3.680034,129900
1992-08-27,11.124344,11.519625,11.124344,11.406688,3.773435,74300
1992-08-28,11.406688,11.463157,11.406688,11.406688,3.773435,32700
1992-08-31,11.406688,11.406688,11.180813,11.237281,3.717394,96500
1992-09-01,11.293750,11.293750,11.124344,11.124344,3.680034,150900
1992-09-02,11.124344,11.237281,11.124344,11.180813,3.698715,242300
1992-09-03,11.180813,11.180813,11.067875,11.124344,3.680034,111700
1992-09-04,11.180813,11.180813,11.067875,11.180813,3.698715,66600
1992-09-08,11.180813,11.180813,10.954938,10.954938,3.623993,255400
1992-09-09,11.011406,11.067875,10.842000,10.842000,3.586634,133700
1992-09-10,10.898469,10.898469,10.390250,10.616125,3.511910,228800
1992-09-11,10.616125,10.616125,10.164375,10.446719,3.455869,140500
1992-09-14,10.503187,10.785531,10.390250,10.729062,3.549272,144900
1992-09-15,10.729062,10.729062,10.503187,10.672594,3.530590,300300
1992-09-16,10.559656,10.898469,10.559656,10.842000,3.586634,152000
1992-09-17,10.785531,11.011406,10.672594,10.954938,3.623993,146900
1992-09-18,10.954938,11.632563,10.954938,11.576094,3.829477,458800
1992-09-21,11.180813,11.293750,11.067875,11.067875,3.661353,212200
1992-09-22,11.067875,11.067875,10.842000,10.898469,3.605313,207100
